Implementation,NumCircles,NumThreads,Iterations,Bounces,Energy,ExecutionTime,Speedup,Efficiency
SECUENCIAL,1000,1,600,0,0.00,0.00,1.00,100.00
PARALELO_BASE,1000,2,600,0,0.00,0.00,1.11,55.62
PARALELO_OPTIMIZADO,1000,2,600,0,0.00,0.00,0.54,26.96
PARALELO_BASE,1000,4,600,0,0.00,0.00,1.18,29.58
PARALELO_OPTIMIZADO,1000,4,600,0,0.00,0.00,0.62,15.54
PARALELO_BASE,1000,8,600,0,0.00,0.00,0.71,8.87
PARALELO_OPTIMIZADO,1000,8,600,0,0.00,0.00,0.53,6.66
PARALELO_BASE,1000,16,600,0,0.00,1.26,0.00,0.01
PARALELO_OPTIMIZADO,1000,16,600,0,0.00,0.02,0.08,0.53
SECUENCIAL,2000,1,600,0,0.00,0.00,1.00,100.00
PARALELO_BASE,2000,2,600,0,0.00,0.00,1.20,59.89
PARALELO_OPTIMIZADO,2000,2,600,0,0.00,0.01,0.46,23.01
PARALELO_BASE,2000,4,600,0,0.00,0.00,1.37,34.36
PARALELO_OPTIMIZADO,2000,4,600,0,0.00,0.00,0.76,18.99
PARALELO_BASE,2000,8,600,0,0.00,0.01,0.46,5.75
PARALELO_OPTIMIZADO,2000,8,600,0,0.00,0.01,0.36,4.49
PARALELO_BASE,2000,16,600,0,0.00,0.59,0.00,0.03
PARALELO_OPTIMIZADO,2000,16,600,0,0.00,0.16,0.02,0.10
SECUENCIAL,3000,1,600,0,0.00,0.00,1.00,100.00
PARALELO_BASE,3000,2,600,0,0.00,0.00,1.38,69.04
PARALELO_OPTIMIZADO,3000,2,600,0,0.00,0.01,0.36,17.84
PARALELO_BASE,3000,4,600,0,0.00,0.00,1.84,46.09
PARALELO_OPTIMIZADO,3000,4,600,0,0.00,0.01,0.71,17.79
PARALELO_BASE,3000,8,600,0,0.00,0.00,1.46,18.20
PARALELO_OPTIMIZADO,3000,8,600,0,0.00,0.00,0.80,10.04
PARALELO_BASE,3000,16,600,0,0.00,0.98,0.00,0.02
PARALELO_OPTIMIZADO,3000,16,600,0,0.00,0.01,0.51,3.21
SECUENCIAL,5000,1,600,0,0.00,0.01,1.00,100.00
PARALELO_BASE,5000,2,600,0,0.00,0.00,1.42,71.22
PARALELO_OPTIMIZADO,5000,2,600,0,0.00,0.02,0.37,18.25
PARALELO_BASE,5000,4,600,0,0.00,0.00,2.04,50.90
PARALELO_OPTIMIZADO,5000,4,600,0,0.00,0.01,0.70,17.47
PARALELO_BASE,5000,8,600,0,0.00,0.00,1.85,23.17
PARALELO_OPTIMIZADO,5000,8,600,0,0.00,0.01,0.95,11.83
PARALELO_BASE,5000,16,600,0,0.00,0.75,0.01,0.06
PARALELO_OPTIMIZADO,5000,16,600,0,0.00,0.51,0.01,0.08
